jackson_num,local_file,q_count,gate_qmark,old_wc,new_wc,delta_pct,gate_wordcount,similarity,gate_opening,overall
126,sermon-126.txt,45,PASS,3597,3592,-0.1,PASS,0.996,PASS,PASS
127,sermon-127.txt,24,PASS,3575,3548,-0.8,PASS,0.991,PASS,PASS
128,sermon-128-free-grace.txt,37,PASS,4674,5959,27.5,FAIL,0.864,PASS,FAIL
130,sermon-130.txt,55,PASS,3696,3690,-0.2,PASS,0.997,PASS,PASS
131,sermon-131.txt,14,PASS,4325,4318,-0.2,PASS,0.998,PASS,PASS
132,sermon-132.txt,28,PASS,4784,4773,-0.2,PASS,0.998,PASS,PASS
133,sermon-133.txt,18,PASS,8089,8132,0.5,PASS,0.994,PASS,PASS
134,sermon-134.txt,82,PASS,4637,4631,-0.1,PASS,0.997,PASS,PASS
135,sermon-135.txt,19,PASS,2358,2338,-0.8,PASS,0.994,PASS,PASS
136,sermon-136.txt,2,PASS,2341,2357,0.7,PASS,0.993,PASS,PASS
137,sermon-137.txt,19,PASS,5115,4193,-18.0,FAIL,0.895,PASS,FAIL
138,sermon-138.txt,8,PASS,3125,3065,-1.9,PASS,0.988,PASS,PASS
139,sermon-139.txt,8,PASS,3210,3210,0.0,PASS,0.998,PASS,PASS
140,sermon-140.txt,32,PASS,3695,3700,0.1,PASS,0.998,PASS,PASS
141,sermon-141.txt,15,PASS,5442,5436,-0.1,PASS,0.998,PASS,PASS
