passage_id,reference,book,chapter,verse_start,verse_end,source_title,author
jw-sermon-004-001,1 Thessalonians 1:3,1 Thessalonians,1,3,3,Scriptural Christianity,john-wesley
jw-sermon-004-002,Hebrews 11:1,Hebrews,11,1,1,Scriptural Christianity,john-wesley
jw-sermon-004-002,Romans 8:15,Romans,8,15,15,Scriptural Christianity,john-wesley
jw-sermon-004-002,1 Corinthians 12:3,1 Corinthians,12,3,3,Scriptural Christianity,john-wesley
jw-sermon-004-002,Romans 8:16,Romans,8,16,16,Scriptural Christianity,john-wesley
jw-sermon-004-002,Galatians 2:20,Galatians,2,20,20,Scriptural Christianity,john-wesley
jw-sermon-004-002,Romans 5:1,Romans,5,1,1,Scriptural Christianity,john-wesley
jw-sermon-004-002,Philippians 1:23,Philippians,1,23,23,Scriptural Christianity,john-wesley
jw-sermon-004-002,Hebrews 2:15,Hebrews,2,15,15,Scriptural Christianity,john-wesley
jw-sermon-004-003,Romans 5:5,Romans,5,5,5,Scriptural Christianity,john-wesley
jw-sermon-004-003,Galatians 4:6,Galatians,4,6,6,Scriptural Christianity,john-wesley
jw-sermon-004-003,1 John 5:10,1 John,5,10,10,Scriptural Christianity,john-wesley
jw-sermon-004-003,1 John 3:1,1 John,3,1,1,Scriptural Christianity,john-wesley
jw-sermon-004-003,1 John 4:11,1 John,4,11,11,Scriptural Christianity,john-wesley
jw-sermon-004-003,Psalms 145:9,Psalms,145,9,9,Scriptural Christianity,john-wesley
jw-sermon-004-004,1 Corinthians 13:4,1 Corinthians,13,4,4,Scriptural Christianity,john-wesley
jw-sermon-004-005,Matthew 25:40,Matthew,25,40,40,Scriptural Christianity,john-wesley
jw-sermon-004-005,Acts 2:42,Acts,2,42,42,Scriptural Christianity,john-wesley
jw-sermon-004-005,Acts 4:31-35,Acts,4,31,35,Scriptural Christianity,john-wesley
jw-sermon-004-006,Matthew 5:13-16,Matthew,5,13,16,Scriptural Christianity,john-wesley
jw-sermon-004-006,1 Peter 2:25,1 Peter,2,25,25,Scriptural Christianity,john-wesley
jw-sermon-004-006,Galatians 6:10,Galatians,6,10,10,Scriptural Christianity,john-wesley
jw-sermon-004-006,Acts 17:30,Acts,17,30,30,Scriptural Christianity,john-wesley
jw-sermon-004-006,Ezekiel 18:30,Ezekiel,18,30,30,Scriptural Christianity,john-wesley
jw-sermon-004-006,Acts 24:25,Acts,24,25,25,Scriptural Christianity,john-wesley
jw-sermon-004-007,Hebrews 12:14,Hebrews,12,14,14,Scriptural Christianity,john-wesley
jw-sermon-004-008,John 7:7,John,7,7,7,Scriptural Christianity,john-wesley
jw-sermon-004-008,1 Peter 4:4,1 Peter,4,4,4,Scriptural Christianity,john-wesley
jw-sermon-004-008,Acts 19:25,Acts,19,25,25,Scriptural Christianity,john-wesley
jw-sermon-004-008,Acts 24:5,Acts,24,5,5,Scriptural Christianity,john-wesley
jw-sermon-004-008,Acts 21:28,Acts,21,28,28,Scriptural Christianity,john-wesley
jw-sermon-004-008,Acts 17:6,Acts,17,6,6,Scriptural Christianity,john-wesley
jw-sermon-004-009,Luke 6:22,Luke,6,22,22,Scriptural Christianity,john-wesley
jw-sermon-004-009,Acts 27:22,Acts,27,22,22,Scriptural Christianity,john-wesley
jw-sermon-004-009,Matthew 5:12,Matthew,5,12,12,Scriptural Christianity,john-wesley
jw-sermon-004-009,Hebrews 10:34,Hebrews,10,34,34,Scriptural Christianity,john-wesley
jw-sermon-004-009,Matthew 16:18,Matthew,16,18,18,Scriptural Christianity,john-wesley
jw-sermon-004-010,1 Peter 1:10-11,1 Peter,1,10,11,Scriptural Christianity,john-wesley
jw-sermon-004-010,Isaiah 2:1-4,Isaiah,2,1,4,Scriptural Christianity,john-wesley
jw-sermon-004-010,Isaiah 11:10-12,Isaiah,11,10,12,Scriptural Christianity,john-wesley
jw-sermon-004-010,Isaiah 11:6-9,Isaiah,11,6,9,Scriptural Christianity,john-wesley
jw-sermon-004-011,Romans 11:1-11,Romans,11,1,11,Scriptural Christianity,john-wesley
jw-sermon-004-011,Psalms 85:10,Psalms,85,10,10,Scriptural Christianity,john-wesley
jw-sermon-004-013,Isaiah 60:1-16,Isaiah,60,1,16,Scriptural Christianity,john-wesley
jw-sermon-004-018,1 Timothy 4:12,1 Timothy,4,12,12,Scriptural Christianity,john-wesley
jw-sermon-005-000,Romans 4:5,Romans,4,5,5,Justification by Faith,john-wesley
jw-sermon-006-000,Romans 10:5-8,Romans,10,5,8,The Righteousness of Faith,john-wesley
jw-sermon-006-000,Deuteronomy 30:11-12,Deuteronomy,30,11,12,The Righteousness of Faith,john-wesley
jw-sermon-006-004,Genesis 3:15,Genesis,3,15,15,The Righteousness of Faith,john-wesley
jw-sermon-006-004,Genesis 12:15-18,Genesis,12,15,18,The Righteousness of Faith,john-wesley
jw-sermon-006-005,Genesis 15:6,Genesis,15,6,6,The Righteousness of Faith,john-wesley
jw-sermon-006-005,Romans 4:11,Romans,4,11,11,The Righteousness of Faith,john-wesley
jw-sermon-006-005,Romans 4:23-25,Romans,4,23,25,The Righteousness of Faith,john-wesley
jw-sermon-007-000,Mark 1:15,Mark,1,15,15,The Way to the Kingdom,john-wesley
jw-sermon-007-000,Romans 14:17,Romans,14,17,17,The Way to the Kingdom,john-wesley
jw-sermon-007-000,Acts 21:20,Acts,21,20,20,The Way to the Kingdom,john-wesley
jw-sermon-007-000,Acts 15:1-24,Acts,15,1,24,The Way to the Kingdom,john-wesley
jw-sermon-007-003,Mark 12:30,Mark,12,30,30,The Way to the Kingdom,john-wesley
jw-sermon-007-006,1 John 5:11-12,1 John,5,11,12,The Way to the Kingdom,john-wesley
jw-sermon-007-006,John 17:3,John,17,3,3,The Way to the Kingdom,john-wesley
jw-sermon-007-006,Matthew 28:20,Matthew,28,20,20,The Way to the Kingdom,john-wesley
jw-sermon-008-000,Romans 8:1,Romans,8,1,1,The First Fruits of the Spirit,john-wesley
jw-sermon-008-000,1 Corinthians 2:12,1 Corinthians,2,12,12,The First Fruits of the Spirit,john-wesley
jw-sermon-008-001,Galatians 5:19,Galatians,5,19,19,The First Fruits of the Spirit,john-wesley
jw-sermon-008-005,Galatians 5:18,Galatians,5,18,18,The First Fruits of the Spirit,john-wesley
jw-sermon-008-005,1 Timothy 1:8-9,1 Timothy,1,8,9,The First Fruits of the Spirit,john-wesley
jw-sermon-008-006,1 Corinthians 1:2-9,1 Corinthians,1,2,9,The First Fruits of the Spirit,john-wesley
jw-sermon-008-006,1 Corinthians 3:1,1 Corinthians,3,1,1,The First Fruits of the Spirit,john-wesley
jw-sermon-008-006,1 John 3:24,1 John,3,24,24,The First Fruits of the Spirit,john-wesley
jw-sermon-009-000,Romans 8:15,Romans,8,15,15,The Spirit of Bondage and of Adoption,john-wesley
jw-sermon-010-000,Romans 8:16,Romans,8,16,16,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-002,1 Corinthians 14:20,1 Corinthians,14,20,20,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-002,1 John 2:3,1 John,2,3,3,"The Witness of the Spirit, Discourse I",john-wesley
jw-sermon-010-002,1 John 2:5,1 John,2,5,5,"The Witness of the Spirit, Discourse I",john-wesley
