source_id,slug,title,corpus,open
cw-016-matthew-53,cw/hymns/misc/016-matthew-53,016 Matthew 53,cw-hymns-misc,True
cw-017-christ-the-friend-of-sinners,cw/hymns/misc/017-christ-the-friend-of-sinners,017 Christ The Friend Of Sinners,cw-hymns-misc,True
cw-018-on-the-conversion-of-a-common-harlot,cw/hymns/misc/018-on-the-conversion-of-a-common-harlot,018 On The Conversion Of A Common Harlot,cw-hymns-misc,True
cw-019-romans-45,cw/hymns/misc/019-romans-45,019 Romans 45,cw-hymns-misc,True
cw-020-acts-14,cw/hymns/misc/020-acts-14,020 Acts 14,cw-hymns-misc,True
cw-021-hymn-of-thanksgiving-to-the-father,cw/hymns/misc/021-hymn-of-thanksgiving-to-the-father,021 Hymn Of Thanksgiving To The Father,cw-hymns-misc,True
cw-022-hymn-to-the-son,cw/hymns/misc/022-hymn-to-the-son,022 Hymn To The Son,cw-hymns-misc,True
cw-023-hymn-to-the-holy-ghost-part-ii-first,cw/hymns/misc/023-hymn-to-the-holy-ghost-part-ii-first,023 Hymn To The Holy Ghost Part Ii First,cw-hymns-misc,True
cw-024-free-grace,cw/hymns/misc/024-free-grace,024 Free Grace,cw-hymns-misc,True
cw-025-therefore-with-angels,cw/hymns/misc/025-therefore-with-angels,025 Therefore With Angels,cw-hymns-misc,True
cw-026-glory-be-to-god-on-high,cw/hymns/misc/026-glory-be-to-god-on-high,026 Glory Be To God On High,cw-hymns-misc,True
cw-027-the-magnificat,cw/hymns/misc/027-the-magnificat,027 The Magnificat,cw-hymns-misc,True
cw-028-in-affliction,cw/hymns/misc/028-in-affliction,028 In Affliction,cw-hymns-misc,True
cw-029-in-desertion-or-temptation,cw/hymns/misc/029-in-desertion-or-temptation,029 In Desertion Or Temptation,cw-hymns-misc,True
cw-030-justified-but-not-sanctified,cw/hymns/misc/030-justified-but-not-sanctified,030 Justified But Not Sanctified,cw-hymns-misc,True
cw-031-isaiah-431-3,cw/hymns/misc/031-isaiah-431-3,031 Isaiah 431 3,cw-hymns-misc,True
cw-032-hymn-on-the-titles-of-christ,cw/hymns/misc/032-hymn-on-the-titles-of-christ,032 Hymn On The Titles Of Christ,cw-hymns-misc,True
cw-033-second-hymn-to-christ,cw/hymns/misc/033-second-hymn-to-christ,033 Second Hymn To Christ,cw-hymns-misc,True
cw-034-third-hymn-to-christ,cw/hymns/misc/034-third-hymn-to-christ,034 Third Hymn To Christ,cw-hymns-misc,True
cw-035-hymn-to-christ-the-king,cw/hymns/misc/035-hymn-to-christ-the-king,035 Hymn To Christ The King,cw-hymns-misc,True
cw-036-second-hymn-to-christ-the-king,cw/hymns/misc/036-second-hymn-to-christ-the-king,036 Second Hymn To Christ The King,cw-hymns-misc,True
cw-037-a-morning-hymn,cw/hymns/misc/037-a-morning-hymn,037 A Morning Hymn,cw-hymns-misc,True
cw-038-hymn-to-the-holy-ghost-part-ii-second,cw/hymns/misc/038-hymn-to-the-holy-ghost-part-ii-second,038 Hymn To The Holy Ghost Part Ii Second,cw-hymns-misc,True
cw-039-hymn-after-the-sacrament,cw/hymns/misc/039-hymn-after-the-sacrament,039 Hymn After The Sacrament,cw-hymns-misc,True
cw-040-acts-241,cw/hymns/misc/040-acts-241,040 Acts 241,cw-hymns-misc,True
cw-041-to-be-sung-at-work,cw/hymns/misc/041-to-be-sung-at-work,041 To Be Sung At Work,cw-hymns-misc,True
cw-042-to-be-sung-at-work---another,cw/hymns/misc/042-to-be-sung-at-work---another,042 To Be Sung At Work   Another,cw-hymns-misc,True
cw-043-acts-429,cw/hymns/misc/043-acts-429,043 Acts 429,cw-hymns-misc,True
cw-044-congratulation-to-a-friend-upon-believing-in-christ,cw/hymns/misc/044-congratulation-to-a-friend-upon-believing-in-christ,044 Congratulation To A Friend Upon Believing In Christ,cw-hymns-misc,True
cw-045-hymn-for-christmas-day,cw/hymns/misc/045-hymn-for-christmas-day,045 Hymn For Christmas Day,cw-hymns-misc,True
cw-046-hymn-for-the-epiphany,cw/hymns/misc/046-hymn-for-the-epiphany,046 Hymn For The Epiphany,cw-hymns-misc,True
cw-047-hymn-for-easter-day,cw/hymns/misc/047-hymn-for-easter-day,047 Hymn For Easter Day,cw-hymns-misc,True
cw-048-hymn-for-ascension-day,cw/hymns/misc/048-hymn-for-ascension-day,048 Hymn For Ascension Day,cw-hymns-misc,True
cw-049-hymn-for-whitsunday,cw/hymns/misc/049-hymn-for-whitsunday,049 Hymn For Whitsunday,cw-hymns-misc,True
cw-050-grace-before-meat-part-ii,cw/hymns/misc/050-grace-before-meat-part-ii,050 Grace Before Meat Part Ii,cw-hymns-misc,True
cw-051-at-meals,cw/hymns/misc/051-at-meals,051 At Meals,cw-hymns-misc,True
cw-052-grace-after-meat-part-ii,cw/hymns/misc/052-grace-after-meat-part-ii,052 Grace After Meat Part Ii,cw-hymns-misc,True
cw-053-grace-after-meat---another-part-ii,cw/hymns/misc/053-grace-after-meat---another-part-ii,053 Grace After Meat   Another Part Ii,cw-hymns-misc,True
cw-054-john-1624,cw/hymns/misc/054-john-1624,054 John 1624,cw-hymns-misc,True
cw-055-isaiah-519,cw/hymns/misc/055-isaiah-519,055 Isaiah 519,cw-hymns-misc,True
cw-universal-redemption,cw/works/universal-redemption,Universal Redemption,cw-works,True
cw-life-of-faith,cw/works/life-of-faith,The Life of Faith,cw-works,True
cw-001-the-fifty-fifth-chapter-of-isaiah,cw/hymns/misc/001-the-fifty-fifth-chapter-of-isaiah,001 The Fifty Fifth Chapter Of Isaiah,cw-hymns-misc,True
cw-002-the-life-of-faith-exemplified-in-the-eleventh-chapter-of-hebrews,cw/hymns/misc/002-the-life-of-faith-exemplified-in-the-eleventh-chapter-of-hebrews,002 The Life Of Faith Exemplified In The Eleventh Chapter Of Hebrews,cw-hymns-misc,True
cw-003-business-alterd-from-george-herbert,cw/hymns/misc/003-business-alterd-from-george-herbert,003 Business Alterd From George Herbert,cw-hymns-misc,True
cw-004-looking-unto-jesus-from-the-german-maria-böhmer,cw/hymns/misc/004-looking-unto-jesus-from-the-german-maria-böhmer,004 Looking Unto Jesus From The German Maria Böhmer,cw-hymns-misc,True
cw-005-looking-unto-jesus-from-the-german-maria-böhmer-the-same,cw/hymns/misc/005-looking-unto-jesus-from-the-german-maria-böhmer-the-same,005 Looking Unto Jesus From The German Maria Böhmer The Same,cw-hymns-misc,True
cw-006-morning-hymn,cw/hymns/misc/006-morning-hymn,006 Morning Hymn,cw-hymns-misc,True
cw-007-morning-hymn-another-1,cw/hymns/misc/007-morning-hymn-another-1,007 Morning Hymn Another 1,cw-hymns-misc,True
cw-008-an-evening-hymn,cw/hymns/misc/008-an-evening-hymn,008 An Evening Hymn,cw-hymns-misc,True
cw-009-to-the-revd-mr-whitefield,cw/hymns/misc/009-to-the-revd-mr-whitefield,009 To The Revd Mr Whitefield,cw-hymns-misc,True
cw-010-to-the-same-revd-mr-whitefield-before-his-voyage,cw/hymns/misc/010-to-the-same-revd-mr-whitefield-before-his-voyage,010 To The Same Revd Mr Whitefield Before His Voyage,cw-hymns-misc,True
cw-011-a-hymn-to-be-sung-at-sea,cw/hymns/misc/011-a-hymn-to-be-sung-at-sea,011 A Hymn To Be Sung At Sea,cw-hymns-misc,True
cw-012-in-a-storm,cw/hymns/misc/012-in-a-storm,012 In A Storm,cw-hymns-misc,True
cw-013-zechariah-1210-they-shall-look-unto-him-from-the-german-paul-gerhardt,cw/hymns/misc/013-zechariah-1210-they-shall-look-unto-him-from-the-german-paul-gerhardt,013 Zechariah 1210 They Shall Look Unto Him From The German Paul Gerhardt,cw-hymns-misc,True
cw-014-the-means-of-grace,cw/hymns/misc/014-the-means-of-grace,014 The Means Of Grace,cw-hymns-misc,True
cw-015-waiting-for-christ,cw/hymns/misc/015-waiting-for-christ,015 Waiting For Christ,cw-hymns-misc,True
cw-017-before-reading-the-scriptures-another-1,cw/hymns/misc/017-before-reading-the-scriptures-another-1,017 Before Reading The Scriptures Another 1,cw-hymns-misc,True
cw-018-before-reading-the-scriptures-another-2,cw/hymns/misc/018-before-reading-the-scriptures-another-2,018 Before Reading The Scriptures Another 2,cw-hymns-misc,True
cw-019-before-preaching,cw/hymns/misc/019-before-preaching,019 Before Preaching,cw-hymns-misc,True
cw-020-after-preaching,cw/hymns/misc/020-after-preaching,020 After Preaching,cw-hymns-misc,True
cw-021-hymn-to-god-the-sanctifier,cw/hymns/misc/021-hymn-to-god-the-sanctifier,021 Hymn To God The Sanctifier,cw-hymns-misc,True
cw-022-written-in-sickness,cw/hymns/misc/022-written-in-sickness,022 Written In Sickness,cw-hymns-misc,True
cw-023-upon-parting-with-his-friends-part-i,cw/hymns/misc/023-upon-parting-with-his-friends-part-i,023 Upon Parting With His Friends Part I,cw-hymns-misc,True
cw-024-upon-parting-with-his-friends-part-i-part-ii,cw/hymns/misc/024-upon-parting-with-his-friends-part-i-part-ii,024 Upon Parting With His Friends Part I Part Ii,cw-hymns-misc,True
cw-025-upon-parting-with-his-friends-part-i-part-iii,cw/hymns/misc/025-upon-parting-with-his-friends-part-i-part-iii,025 Upon Parting With His Friends Part I Part Iii,cw-hymns-misc,True
cw-026-upon-parting-with-his-friends-part-i-part-iv,cw/hymns/misc/026-upon-parting-with-his-friends-part-i-part-iv,026 Upon Parting With His Friends Part I Part Iv,cw-hymns-misc,True
cw-027-upon-parting-with-his-friends-part-i-part-v,cw/hymns/misc/027-upon-parting-with-his-friends-part-i-part-v,027 Upon Parting With His Friends Part I Part V,cw-hymns-misc,True
cw-028-mourning,cw/hymns/misc/028-mourning,028 Mourning,cw-hymns-misc,True
cw-029-romans-724-25,cw/hymns/misc/029-romans-724-25,029 Romans 724 25,cw-hymns-misc,True
cw-030-romans-724-who-shall-deliver-me-from-the-body-of-this-death,cw/hymns/misc/030-romans-724-who-shall-deliver-me-from-the-body-of-this-death,030 Romans 724 Who Shall Deliver Me From The Body Of This Death,cw-hymns-misc,True
cw-031-psalm-1436-my-soul-gaspeth-for-thee-as-a-thirsty-land,cw/hymns/misc/031-psalm-1436-my-soul-gaspeth-for-thee-as-a-thirsty-land,031 Psalm 1436 My Soul Gaspeth For Thee As A Thirsty Land,cw-hymns-misc,True
cw-033-psalm-130,cw/hymns/misc/033-psalm-130,033 Psalm 130,cw-hymns-misc,True
cw-034-in-temptation,cw/hymns/misc/034-in-temptation,034 In Temptation,cw-hymns-misc,True
cw-035-matthew-53-4-6,cw/hymns/misc/035-matthew-53-4-6,035 Matthew 53 4 6,cw-hymns-misc,True
cw-036-in-temptation,cw/hymns/misc/036-in-temptation,036 In Temptation,cw-hymns-misc,True
cw-037-matthew-121-he-shall-save-his-people-from-their-sins,cw/hymns/misc/037-matthew-121-he-shall-save-his-people-from-their-sins,037 Matthew 121 He Shall Save His People From Their Sins,cw-hymns-misc,True
cw-038-desiring-christ,cw/hymns/misc/038-desiring-christ,038 Desiring Christ,cw-hymns-misc,True
cw-039-1-corinthians-1011-these-things-were-written-for-our-instruction,cw/hymns/misc/039-1-corinthians-1011-these-things-were-written-for-our-instruction,039 1 Corinthians 1011 These Things Were Written For Our Instruction,cw-hymns-misc,True
cw-040-i-thirst-thou-wounded-lamb-of-god-from-the-german-nikolaus-von-zinzend,cw/hymns/misc/040-i-thirst-thou-wounded-lamb-of-god-from-the-german-nikolaus-von-zinzend,040 I Thirst Thou Wounded Lamb Of God From The German Nikolaus Von Zinzend,cw-hymns-misc,True
cw-041-the-resignation,cw/hymns/misc/041-the-resignation,041 The Resignation,cw-hymns-misc,True
cw-042-a-prayer-against-the-power-of-sin,cw/hymns/misc/042-a-prayer-against-the-power-of-sin,042 A Prayer Against The Power Of Sin,cw-hymns-misc,True
cw-043-after-a-relapse-into-sin,cw/hymns/misc/043-after-a-relapse-into-sin,043 After A Relapse Into Sin,cw-hymns-misc,True
cw-044-written-in-stress-of-temptation,cw/hymns/misc/044-written-in-stress-of-temptation,044 Written In Stress Of Temptation,cw-hymns-misc,True
cw-045-micah-66-etc,cw/hymns/misc/045-micah-66-etc,045 Micah 66 Etc,cw-hymns-misc,True
cw-046-redemption-found-from-the-german-johann-andreas-rothe,cw/hymns/misc/046-redemption-found-from-the-german-johann-andreas-rothe,046 Redemption Found From The German Johann Andreas Rothe,cw-hymns-misc,True
cw-047-from-the-same-anna-dober,cw/hymns/misc/047-from-the-same-anna-dober,047 From The Same Anna Dober,cw-hymns-misc,True
