source_id,author,title,source_type,passages,words,non_word_rate,header_passages,top_offenders
jw-letter-1751-13-to-the-rector-and-fellows-of-lincoln-college,john-wesley,13 To The Rector And Fellows Of Lincoln College,letter,1,101,0.3663,0,ac:2; Collegii:1; Lincolniensis:1; Academia:1; Oxoniensi:1; Sodus:1; quicquid:1; mihi:1; juris:1; est:1; praedicta:1; Societate:1; ejusdem:1; Rectori:1; Sociis:1; sponte:1; libere:1; resigno:1; Ills:1; universis:1
jw-letter-1777-33-to-mr-bredin-at-mr-john-fitzhenrys,john-wesley,33 To Mr Bredin At Mr John Fitzhenrys,letter,1,12,0.25,0,Fitzhenry's:1; Bollimore:1; Goree:1
jw-letter-1789a-06-to-mrs-tighe-at-woodstock,john-wesley,A 06 To Mrs Tighe At Woodstock,letter,1,8,0.25,0,Woodstock:1; Innistoyne:1
jw-letter-1736-02-to-count-zinzendorf,john-wesley,02 To Count Zinzendorf,letter,1,344,0.2326,0,meis:2; tuis:2; Blut:2; Graviora:1; negotia:1; literis:1; interpellare:1; auderem:1; nisi:1; crederem:1; illius:1; esse:1; discipulum:1; ardens:1; extingui:1; vult:1; neque:1; calamum:1; quassatum:1; confringi:1
jw-letter-1779-26-to-mr-carlill-at-mr-morriss,john-wesley,26 To Mr Carlill At Mr Morriss,letter,1,9,0.2222,0,Morris's:1; Withey:1
jw-letter-1786a-06-to-mr-sam-mitchell-of-maguiresbridge,john-wesley,A 06 To Mr Sam Mitchell Of Maguiresbridge,letter,1,9,0.2222,0,Maguiresbridge:1; Lisnaskea:1
jw-letter-1781a-26-to-mr-bredin-at-mr-danl-keelings,john-wesley,A 26 To Mr Bredin At Mr Danl Keelings,letter,1,10,0.2,0,Danl:1; Keeling's:1
jw-letter-1784a-06-to-the-rev-walter-sellon-at-ledsham,john-wesley,A 06 To The Rev Walter Sellon At Ledsham,letter,1,10,0.2,0,Ledsham:1; Ferrybridge:1
jw-letter-1786b-06-to-mr-torry,john-wesley,B 06 To Mr Torry,letter,1,233,0.1502,0,Torry:1; staying:1; Shorley:1; Wo'thering:1; Remswell:1; Paterington:1; Gilberdike:1; Laxton:1; Esterington:1; Newbold:1; Theton:1; Skitby:1; Cottingham:1; Newland:1; Hasel:1; Grimston:1; Acklam:1; Bugthorp:1; Fankioss:1; Assalby:1
jw-letter-1787-07-to-mr-arthur-keene,john-wesley,07 To Mr Arthur Keene,letter,1,7,0.1429,0,Ranelagh:1
jw-letter-1778-54-to-mr-john-tooelm-at-mr-treffs,john-wesley,54 To Mr John Tooelm At Mr Treffs,letter,1,15,0.1333,0,Tooelm:1; Treffs:1
jw-letter-1781b-33-to-mr-fisher-at-187-opposite,john-wesley,B 33 To Mr Fisher At 187 Opposite,letter,1,8,0.125,0,Campbell's:1
jw-letter-1784b-28-to-miss-chapman-at-wailington,john-wesley,B 28 To Miss Chapman At Wailington,letter,1,8,0.125,0,Wailington:1
jw-letter-1785b-31-to-mrs-fletcher-at-madeley,john-wesley,B 31 To Mrs Fletcher At Madeley,letter,1,8,0.125,0,Skifinal:1
jw-letter-1787-17-to-miss-padbury-at-witflebury,john-wesley,17 To Miss Padbury At Witflebury,letter,1,8,0.125,0,Witflebury:1
jw-primitive-physick,john-wesley,"Primitive Physick (14th ed., 1770)",treatise,102,26063,0.114,0,cures:63; cured:62; ofthe:48; powder'd:46; dipt:30; fhould:29; fpoonful:27; bruifed:25; fails:23; fome:22; alfo:21; feldom:19; changing:19; fafting:18; fmall:16; ofWater:16; poffible:14; ftrong:14; fuch:13; boil'd:13
cw-002-zeal,charles-wesley,002 Zeal,hymn,1,396,0.1111,0,fires:2; sheds:2; Untouch'd:1; exults:1; aspires:1; embraces:1; breasts:1; learns:1; darted:1; chearing:1; diffus'd:1; returns:1; enthusiast's:1; skreen:1; draws:1; fanatick's:1; schemes:1; holds:1; retires:1; assists:1
jw-letter-1778-36-to-mr-sam-tooth-carpr-worship,john-wesley,36 To Mr Sam Tooth Carpr Worship,letter,1,9,0.1111,0,Carpr:1
jw-letter-1780a-04-to-mr-carlill-at-mrs-cumberlands,john-wesley,A 04 To Mr Carlill At Mrs Cumberlands,letter,1,9,0.1111,0,Cumberland's:1
jw-letter-1780a-15-to-mrs-crosby-at,john-wesley,A 15 To Mrs Crosby At,letter,1,9,0.1111,0,Haigh's:1
jw-letter-1781a-41-to-mr-brettell-at-mr-walters,john-wesley,A 41 To Mr Brettell At Mr Walters,letter,1,9,0.1111,0,Walter's:1
jw-letter-1782a-49-to-miss-patty-chapman-at-warledon,john-wesley,A 49 To Miss Patty Chapman At Warledon,letter,1,9,0.1111,0,Warledon:1
jw-letter-1783b-28-to-capt-richa-williams-in-poldice,john-wesley,B 28 To Capt Richa Williams In Poldice,letter,1,9,0.1111,0,Richa:1
jw-letter-1783b-39-to-capt-riehl-williams-at-poldice,john-wesley,B 39 To Capt Riehl Williams At Poldice,letter,1,9,0.1111,0,Riehl:1
jw-letter-1774-81-to-the-authors-of-the-monthly-review,john-wesley,81 To The Authors Of The Monthly Review,letter,1,213,0.1033,0,pounds:3; holders:2; named:2; outlawed:2; severed:2; Authors:1; affirms:1; instruments:1; observed:1; advertisements:1; papers:1; Williamsburg:1; shillings:1; newspapers:1; Yeb:1; Mosely:1
cw-052-grace-after-meat-part-ii,charles-wesley,052 Grace After Meat Part Ii,hymn,1,129,0.1008,0,edn:4; children's:1; wants:1; bounty's:1; chearing:1; imparts:1; veils:1; glads:1; heav'nly:1; Bounty's:1
jw-letter-1756b-12-to-mr-rob-marsden-at-mr-friths,john-wesley,B 12 To Mr Rob Marsden At Mr Friths,letter,1,10,0.1,0,Frith's:1
jw-letter-1773-24-to-mrs-jane-barton-in-hembrough-square,john-wesley,24 To Mrs Jane Barton In Hembrough Square,letter,1,10,0.1,0,Hembrough:1
jw-letter-1777-03-to-mr-wolfe-at-mr-walters,john-wesley,03 To Mr Wolfe At Mr Walters,letter,1,10,0.1,0,Walter's:1
jw-letter-1780a-10-to-mr-abr-brames-at-the-preaching,john-wesley,A 10 To Mr Abr Brames At The Preaching,letter,1,10,0.1,0,Abr:1
jw-letter-1780a-12-to-mr-l-harrison-at-dr-kershaws,john-wesley,A 12 To Mr L Harrison At Dr Kershaws,letter,1,10,0.1,0,Kershaw's:1
jw-letter-1780a-22-to-mr-valton-at-mr-lewtys,john-wesley,A 22 To Mr Valton At Mr Lewtys,letter,1,10,0.1,0,Lewty's:1
jw-letter-1782b-52-to-miss-gretton-at-mr-derrys,john-wesley,B 52 To Miss Gretton At Mr Derrys,letter,1,10,0.1,0,Lincs:1
jw-letter-1785a-36-to-mr-wrigley-at-mr-flamanks,john-wesley,A 36 To Mr Wrigley At Mr Flamanks,letter,1,10,0.1,0,Flamank's:1
jw-letter-1785a-41-to-mr-garrettson-at-mr-philip-marchington,john-wesley,A 41 To Mr Garrettson At Mr Philip Marchington,letter,1,10,0.1,0,Marchington:1
jw-letter-1751-09-to-the-revd-mr-john-wesley-this-line-was-not-in-we,john-wesley,09 To The Revd Mr John Wesley This Line Was Not In We,letter,1,32,0.0938,0,Threadneedle:1; Franked:1; Rushout:1
cw-094-solomons-song-chapter-515-etc-george-sandys,charles-wesley,094 Solomons Song Chapter 515 Etc George Sandys,hymn,1,186,0.0914,0,etc:1; She'd:1; angel's:1; Who's:1; paths:1; roses:1; strews:1; replenish'd:1; ensigns:1; brows:1; exceeds:1; beauty's:1; belov'd:1; yields:1; frosts:1; Legat:1; edn:1
jw-treatise-some-account-of-an-eminent-man,john-wesley,Treatise Some Account Of An Eminent Man,treatise,1,208,0.0913,0,Louvain:2; Verheyen:2; VERHEYEN:1; Medicinae:1; partem:1; materialem:1; caemeterio:1; condi:1; voluit:1; templum:1; dehonestaret:1; aut:1; nocivis:1; halitibus:1; inficeret:1; Requiescat:1; vapours:1
jw-letter-1753-13-to-mr-gillespie-at-mr-seamans,john-wesley,13 To Mr Gillespie At Mr Seamans,letter,1,11,0.0909,0,Seaman's:1
jw-letter-1774-20-to-the-revd-mr-stedman-at-cheverel,john-wesley,20 To The Revd Mr Stedman At Cheverel,letter,1,11,0.0909,0,Cheverel:1
jw-letter-1776-58-to-mr-samuel-bardsley-at,john-wesley,58 To Mr Samuel Bardsley At,letter,1,11,0.0909,0,Whitaker's:1
jw-letter-1779-08-to-mr-samuel-wells-at-mr-gidleys,john-wesley,08 To Mr Samuel Wells At Mr Gidleys,letter,1,11,0.0909,0,Gidley's:1
jw-letter-1783b-16-to-mr-robert-hall-jun-at-mr,john-wesley,B 16 To Mr Robert Hall Jun At Mr,letter,1,11,0.0909,0,Bagshaw's:1
jw-letter-1791-16-to-mr-john-booth-at-the-preaching-house,john-wesley,16 To Mr John Booth At The Preaching House,letter,1,11,0.0909,0,Yorkskire:1
cw-1816-memoir,charles-wesley,Memoir of Charles Wesley (1816),treatise,16,5377,0.0898,0,became:6; habits:4; ofthe:4; began:4; labours:4; duties:3; honours:3; ob:3; tained:3; attained:3; remained:3; talents:3; endeavoured:3; visited:3; placed:3; brothers:3; settlers:3; neglected:3; descended:2; tors:2
jw-treatise-question-concerning-dew-on-coach-glasses,john-wesley,Treatise Question Concerning Dew On Coach Glasses,treatise,1,194,0.0876,0,vapours:2; condenses:2; vapour:2; observed:1; wiped:1; continues:1; readers:1; remaining:1; condensing:1; degrees:1; partaking:1; letting:1; cools:1; gathers:1
jw-letter-1787-38-to-the-rev-mr-asbury-at-mr-wellss-merchant,john-wesley,38 To The Rev Mr Asbury At Mr Wellss Merchant,letter,1,23,0.087,0,Wells's:1; arrives:1
cw-003-on-reading-monsr-de-rentys-life,charles-wesley,003 On Reading Monsr De Rentys Life,hymn,1,174,0.0862,0,Monsr:1; releas'd:1; bolder:1; raptures:1; precludes:1; walk'd:1; surprize:1; Inur'd:1; seem'd:1; design'd:1; virtues:1; remained:1; mourn'd:1; deny'd:1; ceas'd:1
cw-003-business-alterd-from-george-herbert,charles-wesley,003 Business Alterd From George Herbert,hymn,1,164,0.0854,0,wilds:1; wanderers:1; beasts:1; dens:1; shun'd:1; haunts:1; promis'd:1; provides:1; abides:1; sinn'd:1; loseth:1; meets:1; shadows:1; edn:1
cw-lo-he-comes,charles-wesley,Lo! He Comes with Clouds Descending,hymn,5,260,0.0846,0,wailing:6; attending:2; Robed:2; nailed:2; dazzling:2; ransomed:2; worshipers:2; scars:2; pow'r:2
jw-letter-1786a-07-to-robert-cart-brackenbury,john-wesley,A 07 To Robert Cart Brackenbury,letter,1,142,0.0845,0,labors:2; expected:1; Wills:1; continues:1; hopes:1; bf:1; reigning:1; Helyar's:1; Forwd:1; Hble:1; Servt:1
jw-letter-1737-11-to-mr-james-hutton-at-mr-innys,john-wesley,11 To Mr James Hutton At Mr Innys,letter,1,12,0.0833,0,Innys':1
jw-letter-1751-02-to-eliz-brooks-expecting-daily-to-have,john-wesley,02 To Eliz Brooks Expecting Daily To Have,letter,1,12,0.0833,0,seized:1
jw-letter-1774-94-to-mrs-jane-barton-to-be-left-at,john-wesley,94 To Mrs Jane Barton To Be Left At,letter,1,12,0.0833,0,Snowden's:1
jw-letter-1784a-31-to-mr-simon-day-at-mr-wickens,john-wesley,A 31 To Mr Simon Day At Mr Wickens,letter,1,12,0.0833,0,Wicken's:1
jw-letter-1788a-73-to-miss-wesley-at-the-rev-mr-dickinsons,john-wesley,A 73 To Miss Wesley At The Rev Mr Dickinsons,letter,1,12,0.0833,0,Dickinson's:1
cw-031-isaiah-431-3,charles-wesley,031 Isaiah 431 3,hymn,1,291,0.0825,0,pow'r:3; waves:2; flames:2; edn:2; forbids:1; protects:1; attone:1; watry:1; promis'd:1; forgets:1; temptation's:1; whirlpools:1; intercepts:1; sorrow's:1; storms:1; affliction's:1; snares:1; deaths:1; unconsum'd:1
cw-018-on-the-conversion-of-a-common-harlot,charles-wesley,018 On The Conversion Of A Common Harlot,hymn,1,207,0.0821,0,edn:2; repenteth:1; glorified:1; Guilt's:1; records:1; now's:1; diffus'd:1; Rescued:1; fowler's:1; redeeming:1; groans:1; smiles:1; boasts:1; spoils:1; grieves:1; heav'ns:1
jw-general-rules,john-wesley,The General Rules of the Methodist Societies,treatise,6,1870,0.0818,0,buying:4; expected:3; Pris'ners:2; eee:2; choicest:2; fwood:1; Mewcastle:1; SixTa:1; Erice:1; ee:1; vv:1; Wv:1; im:1; desir'd:1; thencefors:1; increased:1; Advices:1; judg'd:1; concluded:1; suited:1
jw-letter-1737-18-to-the-magistrates-of-the-town-of-savannah,john-wesley,18 To The Magistrates Of The Town Of Savannah,letter,1,49,0.0816,0,apprised:1; Dison:1; intends:1; says:1
jw-letter-1736-04-to-his-brother-charles,john-wesley,04 To His Brother Charles,letter,2,578,0.0813,0,est:2; awakened:1; can't:1; storms:1; Tackner:1; Hird's:1; Burk:1; mercies:1; Daubry:1; Conciones:1; omnes:1; meas:1; jamnunc:1; habes:1; praeter:1; istas:1; quas:1; misi:1; Aliquae:1; pyxide:1
jw-letter-1780b-03-to-mr-robinson-at-langham-row-near-alford-lincolns,john-wesley,B 03 To Mr Robinson At Langham Row Near Alford Lincolns,letter,1,37,0.0811,0,autospace:2; MsoNormal:1
jw-letter-1774-02-to-james-hutton,john-wesley,02 To James Hutton,letter,1,174,0.0805,0,tapped:2; admits:1; skilful:1; dominucete's:1; fumes:1; resigning:1; Benham's:1; Atwood's:1; dined:1; Atwood:1; musicians:1; o'clock:1; booksellers:1
jw-letter-1726-01-to-his-brother-samuel,john-wesley,01 To His Brother Samuel,letter,3,888,0.08,0,hopes:2; fires:2; detained:1; Overton:1; elected:1; shows:1; welcomed:1; promised:1; letting:1; copies:1; des'tres:1; neglected:1; melts:1; Glycera:1; opprest:1; surveys:1; conquests:1; tides:1; lab'ring:1; fears:1
cw-010-written-in-the-beginning-of-a-recovery-from-sickness,charles-wesley,010 Written In The Beginning Of A Recovery From Sickness,hymn,1,241,0.0788,0,edn:5; flutt'ring:1; Respiring:1; fault'ring:1; uncancel'd:1; started:1; subdu'd:1; unhallow'd:1; mercies:1; returns:1; quick'ning:1; pow'r:1; promis'd:1; clasp'd:1; soul's:1
cw-duke-protestant-association-1781,charles-wesley,Protestant Association (1781),hymn-collection,20,6055,0.0783,0,troops:7; flames:6; instruments:5; patriots:4; city's:4; citizens:4; nation's:4; tools:4; fears:4; restrictions:3; began:3; threaten'd:3; Masaniello:3; rioters:3; reigns:3; sweeps:3; allowed:2; strains:2; recruits:2; became:2
jw-letter-1782a-51-to-charles-attoore,john-wesley,A 51 To Charles Attoore,letter,1,103,0.0777,0,pills:2; Attoore:1; Agues:1; Sander's:1; scruples:1; arsenicum:1; fads:1
cw-sermon-ii,charles-wesley,CW Sermon II: Psalm 91:11,sermon,12,3669,0.0771,0,beings:4; seasons:3; iri:3; dangers:2; methods:2; ap:2; ministering:2; causes:2; arb:2; im:2; jhall:1; condi:1; tion:1; Pangs:1; fiercest:1; dailyrange:1; boasted:1; delivers:1; suffers:1; wilfully:1
jw-letter-1775-75-to-mr-bardsley-at-mr-garforths,john-wesley,75 To Mr Bardsley At Mr Garforths,letter,1,13,0.0769,0,Garforth's:1
jw-letter-1783b-10-to-mr-garforth-at-skipton-,john-wesley,B 10 To Mr Garforth At Skipton ,letter,1,13,0.0769,0,SkiptonSource:1
jw-letter-1769-58-to-joseph-benson,john-wesley,58 To Joseph Benson,letter,1,235,0.0766,0,quadrata:2; rotundis:2; Dirue:1; edifica:1; Diruit:1; aedificat:1; mutat:1; pulls:1; builds:1; changes:1; mixes:1; students:1; errorum:1; says:1; heresies:1; thinks:1
cw-011-an-evening-hymn,charles-wesley,011 An Evening Hymn,hymn,1,118,0.0763,0,strictest:1; deepest:1; shades:1; wings:1; beds:1; heav'nly:1; refresh'd:1; lids:1; morn's:1
jw-letter-1777-25-to-thomas-carlill,john-wesley,25 To Thomas Carlill,letter,1,92,0.0761,0,invalids:2; letting:1; meets:1; lovefeasts:1; robs:1; buying:1
cw-025-therefore-with-angels,charles-wesley,025 Therefore With Angels,hymn,1,67,0.0746,0,heav'nly:1; pow'rs:1; archangels:1; voices:1; ador'd:1
jw-treatise-an-extraordinary-cure,john-wesley,Treatise An Extraordinary Cure,treatise,1,175,0.0743,0,hundreds:2; neighbours:2; says:1; marvellous:1; Madern's:1; sinews:1; mainte:1; mance:1; Trebble:1; shifts:1; absurdities:1
jw-letter-1780b-06-to-mr-valton-at-the-new-room-in-bristol,john-wesley,B 06 To Mr Valton At The New Room In Bristol,letter,1,81,0.0741,0,autospace:2; rises:1; ia:1; ialways:1; MsoNormal:1
jw-letter-1768-01-to-samuel-levick,john-wesley,01 To Samuel Levick,letter,1,176,0.0739,0,Trezize:1; Lovelace:1; Burrell:1; Eb:1; Gundry:1; Vinicombe:1; Permewan:1; Bennets:1; writes:1; cleared:1; insisted:1; debts:1; Pasco:1
jw-letter-1748-22-to-john-cennick,john-wesley,22 To John Cennick,letter,1,68,0.0735,0,rents:1; covenants:1; insisted:1; encumbering:1; conditions:1
jw-genuine-christianity,john-wesley,A Plain Account Of Genuine Christianity,treatise,16,5378,0.0727,0,Ile:3; neighbour:3; circumstances:3; promised:3; attained:3; reconciled:3; oy:3; terms:2; ee:2; creates:2; ec:2; strongest:2; modes:2; indeared:2; univerfal:2; constrains:2; poslible:2; minds:2; affects:2; ful:2
jw-letter-1767-39-to-john-fenwick,john-wesley,39 To John Fenwick,letter,1,83,0.0723,0,writes:1; Iles:1; shoulders:1; Heaton's:1; lawyer's:1; Callendar:1
cw-duke-hymns-for-christmas-day-1744,charles-wesley,Hymns for Christmas Day (1744),hymn,2,222,0.0721,0,copies:6; ledgers:2; brothers:2; details:2; survived:2; became:2
cw-046-hymn-for-the-epiphany,charles-wesley,046 Hymn For The Epiphany,hymn,1,167,0.0719,0,edn:2; expected:1; gilds:1; Guides:1; bewilder'd:1; Scatt'ring:1; error's:1; heav'nly:1; stars:1; descends:1; Deigns:1
jw-treatise-specimen-of-jacob-behmen,john-wesley,Treatise Specimen Of Jacob Behmen,treatise,4,1298,0.0716,0,comprehends:3; im:3; writings:2; himmel:2; ter:2; mothers:2; affords:2; lips:2; comprehended:2; presses:2; generated:2; syllables:2; instructers:1; sc:1; relating:1; efforts:1; speci:1; Unser:1; Va:1; severs:1
cw-040-acts-241,charles-wesley,040 Acts 241,hymn,1,224,0.0714,0,edn:4; pronounc'd:1; stir'd:1; yielded:1; counsels:1; pray'rs:1; combin'd:1; declin'd:1; redeems:1; esteems:1; Distinctions:1; pray'r:1; prais'd:1
cw-044-congratulation-to-a-friend-upon-believing-in-christ,charles-wesley,044 Congratulation To A Friend Upon Believing In Christ,hymn,1,547,0.0713,0,edn:4; pow'rs:2; fears:2; wings:2; sweeter:1; lustre:1; shin'd:1; diversify'd:1; began:1; pard'ning:1; suff'ring:1; dragon's:1; attoning:1; mourning's:1; favour'd:1; glory's:1; forgiv'n:1; tastes:1; anticipated:1; stablish:1
cw-duke-taking-of-jericho-1742,charles-wesley,Taking of Jericho  (1742),hymn,2,396,0.0707,0,copies:6; records:2; recorded:2; represents:2; conveys:2; ministering:2; pursuing:2; disciplined:2; ledgers:2; arranged:2; survived:2; printings:2
cw-life-of-faith,charles-wesley,The Life of Faith,hymn,103,4344,0.0704,0,promis'd:14; believes:4; nobler:4; glorified:4; shew'd:4; triumph'd:4; look'd:4; waves:4; subsisting:2; receives:2; reason's:2; glimm'ring:2; origine:2; lends:2; shadows:2; records:2; worlds:2; obey'd:2; fabrick:2; vouchsaf'd:2
cw-012-in-a-storm,charles-wesley,012 In A Storm,hymn,1,299,0.0702,0,seas:3; floods:2; spann'd:1; meted:1; measur'd:1; placed:1; recover'd:1; pow'rs:1; lands:1; hearest:1; louder:1; children's:1; whirlwinds:1; watry:1; waves:1; defie:1; tries:1; permits:1
cw-078-universal-redemption-another-1,charles-wesley,078 Universal Redemption Another 1,hymn,1,271,0.0701,0,bestows:1; o'erflows:1; confin'd:1; embraces:1; reach'd:1; quick'ning:1; doom'st:1; decreed:1; horrors:1; edn:1; tries:1; defies:1; admits:1; disowns:1; tort'ring:1; shrieks:1; groans:1; gorg'd:1; hopes:1
cw-duke-life-of-faith-1740,charles-wesley,Life of Faith (1740),hymn-collection,6,2312,0.0701,0,promis'd:7; believes:2; nobler:2; glorified:2; shew'd:2; triumph'd:2; look'd:2; waves:2; updated:1; versifying:1; issued:1; suggests:1; issues:1; brothers:1; discerned:1; subsisting:1; receives:1; reason's:1; glimm'ring:1; origine:1
jw-letter-1782b-39-to-zachariah-yewdall,john-wesley,B 39 To Zachariah Yewdall,letter,1,43,0.0698,0,lines:1; Boardman's:1; papers:1
jw-letter-1789b-44-to-mr-----,john-wesley,B 44 To Mr     ,letter,1,101,0.0693,0,surprised:1; affirming:1; refused:1; h'ls:1; voted:1; completed:1; showed:1
cw-002-the-life-of-faith-exemplified-in-the-eleventh-chapter-of-hebrews,charles-wesley,002 The Life Of Faith Exemplified In The Eleventh Chapter Of Hebrews,hymn,3,4326,0.0689,0,promis'd:12; believes:4; nobler:4; glorified:4; shew'd:4; triumph'd:4; look'd:4; waves:4; plants:2; odour:2; trophies:2; subsisting:2; receives:2; reason's:2; glimm'ring:2; origine:2; lends:2; shadows:2; records:2; worlds:2
cw-009-to-the-revd-mr-whitefield,charles-wesley,009 To The Revd Mr Whitefield,hymn,1,305,0.0689,0,o'erturn:2; deem'd:1; rags:1; esteem'd:1; belov'd:1; pray'r:1; edn:1; own'd:1; us'd:1; bestow'd:1; transfus'd:1; nobler:1; conquests:1; darkest:1; low'rs:1; Thrones:1; principalities:1; o'ercome:1; weapons:1; holds:1
cw-o-for-a-thousand-tongues,charles-wesley,O for a Thousand Tongues to Sing,hymn,6,234,0.0684,0,tongues:2; glories:2; honors:2; charms:2; fears:2; cancelled:2; foulest:2; availed:2
jw-letter-1755-09-to-his-brother-charles,john-wesley,09 To His Brother Charles,letter,1,205,0.0683,0,tongues:1; pounds:1; thinks:1; can't:1; commemorated:1; proximus:1; ardet:1; Ucalegon:1; flames:1; Ucalegon's:1; neighbor's:1; excommunicated:1; actum:1; est:1
cw-sermon-iv,charles-wesley,CW Sermon IV: Matthew 5:20,sermon,7,2298,0.0683,0,performed:4; required:3; regu:3; consists:3; exceeded:2; patterns:2; consisted:2; signifies:2; disciples:2; strictest:2; rigour:2; institutions:2; proposed:2; requires:2; dif:2; tentions:2; ceremonies:2; weightier:2; modes:2; views:2
jw-treatise-origin-of-image-worship,john-wesley,Treatise Origin Of Image Worship,treatise,2,690,0.0681,0,pictures:5; became:4; instru:2; ments:2; winked:2; errors:2; languages:1; adorned:1; tian:1; ornaments:1; instructors:1; libri:1; laicorum:1; representing:1; passages:1; hieroglyphics:1; propagating:1; invented:1; devil's:1; tians:1
cw-013-the-53rd-chapter-of-isaiah,charles-wesley,013 The 53Rd Chapter Of Isaiah,hymn,1,774,0.0672,0,edn:2; offence:2; cherish'd:1; bespeaks:1; assumes:1; servant's:1; stoops:1; reason's:1; despis'd:1; inur'd:1; faces:1; despight:1; scorn'd:1; woes:1; pangs:1; esteem'd:1; deem'd:1; punish'd:1; transgressions:1; debt's:1
cw-013-zechariah-1210-they-shall-look-unto-him-from-the-german-paul-gerhardt,charles-wesley,013 Zechariah 1210 They Shall Look Unto Him From The German Paul Gerhardt,hymn,1,194,0.067,0,expires:2; Besmear'd:1; lips:1; caus'd:1; burthen:1; lion's:1; forsook:1; spring'st:1; von:1; der:1; ysenhaus:1; edn:1
jw-letter-1757-11-to-min-crosby-at-mr-kents-bricklayer,john-wesley,11 To Min Crosby At Mr Kents Bricklayer,letter,1,15,0.0667,0,Kent's:1
jw-letter-1788a-67-to-peard-dickinson,john-wesley,A 67 To Peard Dickinson,letter,1,166,0.0663,0,unrivalled:1; McClintock:1; Strong's:1; Cyclopodia:1; temporum:1; principio:1; periodos:1; conomio:1; divino:1; finest:1; relates:1
cw-009-a-hymn-for-midnight,charles-wesley,009 A Hymn For Midnight,hymn,1,304,0.0658,0,edn:3; shades:1; o'erspread:1; reclines:1; respires:1; aims:1; nobler:1; corrects:1; hov'ring:1; heav'nly:1; raptur'd:1; regions:1; Allures:1; confirms:1; groans:1; lab'ring:1; moans:1; creature's:1
cw-024-free-grace,charles-wesley,024 Free Grace,hymn,1,244,0.0656,0,int'rest:1; caus'd:1; pursu'd:1; myst'ry:1; tries:1; minds:1; imprison'd:1; diffus'd:1; quick'ning:1; flam'd:1; chains:1; whispers:1; forgiv'n:1; atoning:1; attoning:1; edn:1
cw-030-justified-but-not-sanctified,charles-wesley,030 Justified But Not Sanctified,hymn,1,521,0.0653,0,pow'r:3; edn:3; lov'st:2; forgiv'n:2; pray'r:1; bruised:1; smoaking:1; barriers:1; resurrection's:1; mercies:1; wants:1; retitled:1; accompanies:1; cancel'd:1; flames:1; op'ning:1; lusts:1; absolv'd:1; strives:1; allur'd:1
cw-sermon-xi,charles-wesley,CW Sermon XI: Philippians 3:13-14,sermon,17,3950,0.0651,0,attained:8; labours:6; steps:3; represented:3; apprehended:3; promised:3; observed:2; tion:2; borrowed:2; races:2; competitors:2; attacks:2; faileth:2; hopes:2; enjoined:2; assaults:2; tb:2; disciples:2; urged:2; conditions:2
cw-duke-elegy-on-whitefield-1771,charles-wesley,Elegy on Whitefield (1771),hymn-collection,12,4257,0.0651,0,design'd:4; bestow'd:4; servant's:3; labours:3; fear'd:3; wants:3; dared:3; forgiven:3; steps:3; flies:3; toils:3; inlarg'd:3; shew'd:3; companion's:2; vouchsaf'd:2; Infus'd:2; pursued:2; croud:2; creature's:2; listning:2
cw-012-a-prayer-under-convictions,charles-wesley,012 A Prayer Under Convictions,hymn,1,325,0.0646,0,know'st:4; pray'r:2; lips:1; wants:1; unsubdu'd:1; check'd:1; charm'd:1; lurks:1; edn:1; uses:1; warmest:1; wishes:1; ardors:1; hopes:1; fears:1; extasy:1; pow'r:1
cw-sermon-iii,charles-wesley,CW Sermon III: Luke 16:10,sermon,21,5208,0.0645,0,referred:5; neglecting:4; transgressions:4; required:4; degrees:4; deemed:3; esteemed:3; promised:3; restraints:3; exposes:3; pleasures:3; Gdd:2; alfo:2; scoffs:2; insults:2; bonds:2; duties:2; scru:2; tends:2; strictest:2
cw-032-hymn-on-the-titles-of-christ,charles-wesley,032 Hymn On The Titles Of Christ,hymn,1,481,0.0644,0,deign'd:1; creature's:1; servant's:1; pow'rs:1; choirs:1; virgin's:1; promis'd:1; blessing's:1; conq'ring:1; deepest:1; recedes:1; shadows:1; op'ning:1; dazling:1; stoops:1; ador'd:1; confest:1; display'd:1; heav'ns:1; vouchsaf'd:1
jw-treatise-dialogue-predestinarian-and-friend,john-wesley,Treatise Dialogue Predestinarian And Friend,treatise,7,2567,0.0643,0,decreed:7; reprobates:5; predestinated:5; wills:4; Responsio:3; foreknew:3; authors:2; Assembly's:2; governed:2; Twissi:2; Vindicia:2; foresaw:2; Piscatoris:2; Disput:2; Praedest:2; foresees:2; Piscat:2; termed:2; elected:2; reprobated:2
cw-duke-ode-on-dr-boyce-1779,charles-wesley,Ode on Dr Boyce (1779),hymn,7,778,0.0643,0,copies:4; updated:2; became:2; honoring:2; performed:2; descriptions:2; np:2; handscript:2; comments:2; capo:2; gen'rous:2; sigh'd:2; tun'd:2; strikes:2; strings:2; wings:2; employ'd:2; accompanied:2; acclamations:2; shouts:2
jw-letter-1773-65-to-samuel-sparrow,john-wesley,65 To Samuel Sparrow,letter,1,344,0.064,0,agrees:1; contradicting:1; beings:1; disciples:1; forbids:1; passages:1; asserted:1; terms:1; Vitiis:1; nascitur:1; vices':1; Omnes:1; natura:1; proclives:1; libidinem:1; Dociles:1; imitandis:1; turpibus:1; pravis:1; omnes:1
