source_id,author,title,source_type,passages,words,non_word_rate,header_passages,top_offenders
jw-letter-1775-41-to-mrs-woodhouse,john-wesley,41 To Mrs Woodhouse,letter,1,127,0.0157,0,failed:1; surgeons:1
jw-letter-1781b-12-to-members-and-friends,john-wesley,B 12 To Members And Friends,letter,1,191,0.0157,0,superannuated:1; subscribing:1; CD:1
jw-letter-1784a-32-to-alexander-surer,john-wesley,A 32 To Alexander Surer,letter,1,191,0.0157,0,Lodovick:1; visited:1; proposed:1
jw-letter-1784b-29-to-john-mason,john-wesley,B 29 To John Mason,letter,1,127,0.0157,0,straitened:1; complied:1
jw-letter-1785a-11-to-arthur-keene,john-wesley,A 11 To Arthur Keene,letter,2,446,0.0157,0,succeeded:1; disapproved:1; expectations:1; observed:1; withholds:1; recommended:1; became:1
jw-letter-1785a-37-to-his-brother-charles,john-wesley,A 37 To His Brother Charles,letter,1,254,0.0157,0,proposed:1; laborers:1; shortest:1; Italians:1
jw-letter-1786a-39-to-james-copeland,john-wesley,A 39 To James Copeland,letter,1,127,0.0157,0,Copeland:1; strives:1
jw-letter-1791-19-to-ezekiel-cooper-of-philadelphia,john-wesley,19 To Ezekiel Cooper Of Philadelphia,letter,1,254,0.0157,0,infirmities:1; failed:1; enabled:1; oceans:1
jw-letter-1791-25-to-sarah-rutter,john-wesley,25 To Sarah Rutter,letter,1,127,0.0157,0,enabling:1; remaineth:1
cw-gp-08-gloria-patri-viii,charles-wesley,Gp 08 Gloria Patri Viii,hymn,2,382,0.0157,0,elected:2; pass'd:2; applies:2
jw-letters-1783a,john-wesley,Letters 1783A,letter,19,6184,0.0157,0,hopes:3; larger:2; can't:2; enabling:1; dosest:1; forgiven:1; wanted:1; Neddy's:1; troubles:1; burthen:1; journeys:1; pleases:1; informing:1; thinks:1; appeareth:1; vanisheth:1; observed:1; BROTRER:1; acted:1; consequences:1
cw-051-christ-our-redemption-1-corinthians-130,charles-wesley,051 Christ Our Redemption 1 Corinthians 130,hymn,1,128,0.0156,0,captive's:1; defies:1
jw-letter-1756a-03-to-joseph-cownley,john-wesley,A 03 To Joseph Cownley,letter,1,257,0.0156,0,preparations:1; wildest:1; regiments:1; consequences:1
jw-letter-1764-29-to-thomas-rankin,john-wesley,29 To Thomas Rankin,letter,1,192,0.0156,0,Triggs:1; recommended:1; particulars:1
jw-letter-1772-21-to-mary-bosanquet,john-wesley,21 To Mary Bosanquet,letter,1,64,0.0156,0,apprehensions:1
jw-letter-1773-37-to-miss-cummins,john-wesley,37 To Miss Cummins,letter,2,450,0.0156,0,constrains:1; flees:1; pleasures:1; trifles:1; danced:1; noting:1; sitteth:1
jw-letter-1776-32-to-miss-j-c-march,john-wesley,32 To Miss J C March,letter,1,256,0.0156,0,circumstances:1; purifying:1; prevented:1; wining:1
jw-letter-1776-34-to-hester-ann-roe,john-wesley,34 To Hester Ann Roe,letter,1,321,0.0156,0,openings:1; disembodied:1; waves:1; unopposing:1; expresses:1
jw-letter-1785b-07-to-arthur-keene,john-wesley,B 07 To Arthur Keene,letter,2,513,0.0156,0,Neill:1; circumstances:1; showed:1; entrusted:1; Jaques's:1; pressed:1; writes:1; inmates:1
jw-letter-1785b-40-to-thomas-wride,john-wesley,B 40 To Thomas Wride,letter,1,128,0.0156,0,oftener:1; McKersey:1
jw-letter-1788a-65-to-henry-moore,john-wesley,A 65 To Henry Moore,letter,1,192,0.0156,0,se'n:1; objected:1; services:1
jw-letter-1789a-64-to-walter-churchey,john-wesley,A 64 To Walter Churchey,letter,1,257,0.0156,0,alterations:1; altering':1; innovations:1; journeys:1
cw-052-it-is-very-meet-right-and-our-bounden-duty,charles-wesley,052 It Is Very Meet Right And Our Bounden Duty,hymn,1,194,0.0155,0,ador'd:1; ascribed:1; Vidicated:1
jw-letter-1765-21-to-thomas-rankin,john-wesley,21 To Thomas Rankin,letter,1,258,0.0155,0,repetitions:1; flourishes:1; supplied:1; Cooper's:1
jw-letter-1770-18-to-mrs-bennis,john-wesley,18 To Mrs Bennis,letter,1,194,0.0155,0,WHITBHAVEN:1; miscarried:1; stationed:1
jw-letter-1777-27-to-elizabeth-ritchie,john-wesley,27 To Elizabeth Ritchie,letter,1,193,0.0155,0,lines:2; obscured:1
jw-letter-1779-37-to-alexander-knox,john-wesley,37 To Alexander Knox,letter,1,193,0.0155,0,caressed:1; applauded:1; escaped:1
jw-letter-1783a-15-to-william-black,john-wesley,A 15 To William Black,letter,1,323,0.0155,0,hopes:1; informs:1; disciples:1; withdrew:1; founded:1
jw-letter-1787-20-to-william-black,john-wesley,20 To William Black,letter,1,258,0.0155,0,granted:1; weapons:1; denies:1; staggered:1
jw-letter-1789a-81-to-henry-moore,john-wesley,A 81 To Henry Moore,letter,1,194,0.0155,0,hiding:1; quenched:1; spared:1
jw-letter-1790a-06-to-thomas-rutherford,john-wesley,A 06 To Thomas Rutherford,letter,1,129,0.0155,0,Erckbarn:1; hopes:1
jw-letter-1737-08-to-mrs-chapman,john-wesley,08 To Mrs Chapman,letter,4,1039,0.0154,0,pleasures:2; distinctions:2; subsisted:1; interposed:1; implies:1; tends:1; Holborn:1; excepts:1; affirms:1; asserting:1; attempted:1; solved:1; disputers:1; ceasing:1
jw-letter-1774-03-to-john-mason,john-wesley,03 To John Mason,letter,1,130,0.0154,0,broader:1; surgeon's:1
jw-letter-1775-21-to-thomas-rankin,john-wesley,21 To Thomas Rankin,letter,1,325,0.0154,0,lines:1; passes:1; showers:1; begins:1; writes:1
jw-letter-1781b-17-to-his-niece-sarah-wesley,john-wesley,B 17 To His Niece Sarah Wesley,letter,2,454,0.0154,0,contained:1; referred:1; Dilworth's:1; Clarendon's:1; Neal's:1; Shakspeare:1; Fairfax's:1
jw-letter-1783a-33-to-john-cricket,john-wesley,A 33 To John Cricket,letter,1,65,0.0154,0,hindered:1
jw-letter-1784b-30-to-henry-moore,john-wesley,B 30 To Henry Moore,letter,1,130,0.0154,0,preaches:1; Plunkett:1
jw-letter-1788b-69-to-mrs-cock,john-wesley,B 69 To Mrs Cock,letter,1,130,0.0154,0,lines:1; suffered:1
jw-letter-1789b-43-to-adam-clarke,john-wesley,B 43 To Adam Clarke,letter,1,130,0.0154,0,hops:1; regulations:1
jw-letter-1790b-40-to-john-valton,john-wesley,B 40 To John Valton,letter,1,130,0.0154,0,Leggat's:1; Jno:1
jw-letter-1765-19-to-miss-march-bristol-august-31-1765,john-wesley,19 To Miss March Bristol August 31 1765,letter,1,262,0.0153,0,prospers:1; concerns:1; attained:1; occasioned:1
jw-letter-1771-90-to-mary-stokes,john-wesley,90 To Mary Stokes,letter,1,326,0.0153,0,crosses:1; suggestions:1; reigns:1; Tommy's:1; seconded:1
jw-letter-1785a-40-to-freeborn-garrettson,john-wesley,A 40 To Freeborn Garrettson,letter,2,458,0.0153,0,pounds:2; experiences:1; opens:1; undertaken:1; wisest:1; Marchington's:1
jw-letter-1788a-60-to-thomas-taylor,john-wesley,A 60 To Thomas Taylor,letter,1,131,0.0153,0,concerns:1; endorses:1
jw-letter-1789a-28-to-john-taylor,john-wesley,A 28 To John Taylor,letter,1,131,0.0153,0,stationing:1; divested:1
jw-letter-1789a-61-to-mrs-crosby,john-wesley,A 61 To Mrs Crosby,letter,1,131,0.0153,0,letting:1; follows:1
jw-letter-1762-01-to-christopher-hopper-norwich-january-18-1762,john-wesley,01 To Christopher Hopper Norwich January 18 1762,letter,1,198,0.0152,0,sitteth:1; floods:1; remaineth:1
jw-letter-1771-45-to-mrs-hall,john-wesley,45 To Mrs Hall,letter,1,197,0.0152,0,fewer:1; infirmities:1; signifies:1
jw-letter-1771-70-to-philothea-briggs,john-wesley,70 To Philothea Briggs,letter,1,198,0.0152,0,hurts:1; continues:1; weaning:1
jw-letter-1778-19-to-mary-bishop,john-wesley,19 To Mary Bishop,letter,1,328,0.0152,0,Flower's:1; astonished:1; seemed:1; pausing:1; fears:1
jw-letter-1782b-16-to-william-sagar,john-wesley,B 16 To William Sagar,letter,1,66,0.0152,0,dispersing:1
jw-letter-1782b-18-to-robert-hopkins,john-wesley,B 18 To Robert Hopkins,letter,1,66,0.0152,0,reports:1
jw-letter-1784b-16-to-christopher-hopper,john-wesley,B 16 To Christopher Hopper,letter,1,66,0.0152,0,behaves:1
jw-letter-1787-33-to-adam-clarke,john-wesley,33 To Adam Clarke,letter,1,328,0.0152,0,circumstances:2; credited:1; fullest:1; attested:1
