jackson_running,title,scripture,date,jackson_ref,real_author,notes,source_id,in_corpus
129,The Cause and Cure of Earthquakes,Ps. 46:8,1750,VII:386-399,Charles Wesley,already correctly filed in this corpus as cw-sermon-129,jw-sermon-129,False
137,On the Resurrection of the Dead,1 Cor. 15:25,"June 7, 1732",VII:474-485,Benjamin Calamy,"in this corpus as jw-sermon-137, misattributed to John Wesley",jw-sermon-137,True
138,On Grieving the Holy Spirit,Eph. 4:30,"June 13, 1732",VII:485-492,William Tilly,"in this corpus as jw-sermon-138, misattributed to John Wesley",jw-sermon-138,True
141,On the Holy Spirit,2 Cor. 3:17,"June 13, 1736",VII:508-520,John Gambold,"in this corpus as jw-sermon-141, misattributed to John Wesley",jw-sermon-141,True
