bicentennial,jackson_running,sugden,source_id,in_corpus,title,scripture,date,bicentennial_ref,jackson_ref,sugden_ref,notes
61,61,,jw-sermon-061,True,The Mystery of Iniquity,2 Thess. 2:7,May-June 1783,2:451-470,VI:253-267,,
62,62,,jw-sermon-062,True,The End of Christ's Coming,1 John 3:8,"Jan. 20, 1781",2:471-484,VI:267-277,,
63,63,,jw-sermon-063,True,The General Spread of the Gospel,Isa. 11:9,"Apr. 22, 1783",2:485-499,VI:277-288,,
64,64,,jw-sermon-064,True,The New Creation,Rev. 21:5,Nov.-Dec. 1785,2:500-510,VI:288-296,,
65,65,,jw-sermon-065,True,The Duty of Reproving our Neighbour,Lev. 19:17,"July 28, 1787",2:511-520,VI:296-304,,
66,66,,jw-sermon-066,True,The Signs of the Times,Matt. 16:3,"Aug. 27, 1787",2:521-533,VI:304-313,,
67,67,,jw-sermon-067,True,On Divine Providence,Luke 12:7,"Mar. 3, 1786",2:534-550,VI:313-325,,
68,68,,jw-sermon-068,True,The Wisdom of God's Counsels,Rom. 11:33,"Apr. 28, 1784",2:551-566,VI:325-337,,
69,69,,jw-sermon-069,True,The Imperfection of Human Knowledge,1 Cor. 13:9,"Mar. 5, 1784",2:567-586,VI:337-350,,
70,70,,jw-sermon-070,True,The Case of Reason Impartially Considered,1 Cor. 14:20,"July 6, 1781",2:587-600,VI:350-360,,
71,71,,jw-sermon-071,True,Of Good Angels,Heb. 1:14,Jan.-Feb. 1783,3:3-15,VI:361-370,,
72,72,,jw-sermon-072,True,Of Evil Angels,Eph. 6:12,"Jan. 7, 1783",3:16-29,VI:370-380,,
73,73,,jw-sermon-073,True,Of Hell,Mark 9:48,"Oct. 10, 1782",3:30-44,VI:381-391,,
74,74,,jw-sermon-074,True,Of the Church,Eph. 4:1-6,"Sept. 28, 1785",3:45-57,VI:392-401,,
75,75,,jw-sermon-075,True,On Schism,1 Cor. 12:25,"Mar. 30, 1786",3:58-69,VI:401-410,,
76,76,,jw-sermon-076,True,On Perfection,Heb. 6:1,"Dec. 6, 1784",3:70-87,VI:411-424,,
77,77,,jw-sermon-077,True,Spiritual Worship,1 John 5:20,"Dec. 22, 1780",3:88-102,VI:424-435,,
78,78,,jw-sermon-078,True,Spiritual Idolatry,1 John 5:21,"Jan. 5, 1781",3:103-114,VI:435-444,,
79,79,,jw-sermon-079,True,On Dissipation,1 Cor. 7:35,Jan.-Feb. 1784,3:115-125,VI:444-452,,
80,80,,jw-sermon-080,True,On Friendship with the World,Jas. 4:4,"May 1, 1786",3:126-140,VI:452-463,,
81,81,,jw-sermon-081,True,In What Sense we are to Leave the World,2 Cor. 6:17-18,"July 17, 1784",3:141-155,VI:464-475,,
82,82,,jw-sermon-082,True,On Temptation,1 Cor. 10:13,"Oct. 7, 1786",3:156-168,VI:475-484,,
83,83,,jw-sermon-083,True,On Patience,Jas. 1:4,Mar.-Apr. 1784,3:169-179,VI:484-492,,
84,84,,jw-sermon-084,True,The Important Question,Matt. 16:26,"Sept. 11, 1775",3:181-198,VI:493-505,,
85,85,,jw-sermon-085,True,On Working Out Our Own Salvation,Phil. 2:12-13,Sept-Oct. 1785,3:199-209,VI:506-513,,
86,86,,jw-sermon-086,True,A Call to Backsliders,Ps. 77:7-8,"May 20, 1778",3:210-226,VI:514-527,,
87,87,,jw-sermon-087,True,The Danger of Riches,1 Tim. 6:9,Jan.-Feb. 1781,3:227-246,VII:1-15,,
88,88,,jw-sermon-088,True,On Dress,1 Pet. 3:3-4,"Dec. 30, 1786",3:247-261,VII:15-26,,
